t_dim,SW_net,LW_in,LW_out,R_net,H_t,Ls_t,G_t,T_5mm,T_a,T_s,Lf_b,H_b,G_b,top_flux_sum,bottom_flux_sum,mass_loss_bottom,mass_loss_top,thickness_loss_top,thickness_loss_bottom
0.5,0.0,200,-491.79852253319586,-291.79852253319586,-11.157162326127898,-21.508149194953262,327.1421312000797,273.15,269.8117333157176,272.423017486222,7060.3839,-7060.3839,0.0,2.6782971458026736,0.0,0.021138873952095807,-7.589325756864242e-06,-8.278963408818853e-09,2.3059751229514353e-05
1.0,0.0,200,-491.7499725639647,-291.7499725639647,-11.11108584344492,-21.46863717320832,324.3692076023848,273.13280809634546,269.8114874601409,272.4119876350068,7060.3839,-7060.3839,0.0,0.039512021766825,0.0,0.021138873952095807,-7.57538361792813e-06,-8.263754355763205e-09,2.3059751229514353e-05
1.5,0.0,200,-491.6784539817347,-291.6784539817347,-11.0427035515209,-21.41048370939089,324.18979470647855,273.11615897206406,269.8112416021691,272.39573720604966,7060.3839,-7060.3839,0.0,0.058153463832013585,0.0,0.021138873952095807,-7.554863694209911e-06,-8.241369798418142e-09,2.3059751229514353e-05
2.0,0.0,200,-491.6087878540178,-291.6087878540178,-10.976107748016894,-21.35389534236504,323.9953793114381,273.0998946261622,269.8109957418026,272.379904894359,7060.3839,-7060.3839,0.0,0.05658836703838688,0.0,0.021138873952095807,-7.5348960276517425e-06,-8.219587681522573e-09,2.3059751229514353e-05
2.5,0.0,200,-491.5407079681643,-291.5407079681643,-10.91104080826843,-21.298651488847504,323.8056441188121,273.0839985020713,269.81074987904185,272.3644304040295,7060.3839,-7060.3839,0.0,0.055243853531862896,0.0,0.021138873952095807,-7.515402783644144e-06,-8.198323097680968e-09,2.3059751229514353e-05
3.0,0.0,200,-491.4741439328865,-291.4741439328865,-10.847435136071091,-21.24469120384046,323.62023055780185,273.06845398237687,269.81050401388694,272.34929791447064,7060.3839,-7060.3839,0.0,0.05396028500376815,0.0,0.021138873952095807,-7.4963624572478685e-06,-8.177552587812663e-09,2.3059751229514353e-05
3.5,0.0,200,-491.4090280030076,-291.4090280030076,-10.785225643831279,-21.191955998255462,323.4389448506647,273.05324540300063,269.8102581463384,272.3344921922214,7060.3839,-7060.3839,0.0,0.05273520557034317,0.0,0.021138873952095807,-7.477754410111313e-06,-8.157253638170954e-09,2.3059751229514353e-05
4.0,0.0,200,-491.3452962850417,-291.3452962850417,-10.724350928582858,-21.140390790724894,323.2616032118955,273.0383579844397,269.81001227639644,272.31999886619104,7060.3839,-7060.3839,0.0,0.051565207546047986,0.0,0.021138873952095807,-7.459559206324945e-06,-8.137405046716422e-09,2.3059751229514353e-05
4.5,0.0,200,-491.2828884799257,-291.2828884799257,-10.664753027140502,-21.089943673378276,323.08803229778675,273.02377777546076,269.8097664040614,272.30580437035456,7060.3839,-7060.3839,0.0,0.05044711734228713,0.0,0.021138873952095807,-7.4417585297735624e-06,-8.11798683295905e-09,2.3059751229514353e-05
5.0,0.0,200,-491.2217476540288,-291.2217476540288,-10.606377198232847,-21.04056570305934,322.91806852565514,273.0094916005962,269.80952052933367,272.29189589276143,7060.3839,-7060.3839,0.0,0.049377970334205656,0.0,0.021138873952095807,-7.424335110465539e-06,-8.09898015759304e-09,2.3059751229514353e-05
5.5,0.0,200,-491.16182002584765,-291.16182002584765,-10.54917171943393,-20.992210707501965,322.75155744837036,272.995487011227,269.8092746522135,272.2782613280084,7060.3839,-7060.3839,0.0,0.04835499558680567,0.0,0.021138873952095807,-7.407272656140425e-06,-8.080367247889631e-09,2.3059751229514353e-05
6.0,0.0,200,-491.10305476732145,-291.10305476732145,-10.493087697902208,-20.944835105368277,322.5883531727277,272.9817522399944,269.80902877270125,272.2648892329439,7060.3839,-7060.3839,0.0,0.047375602135787176,0.0,0.021138873952095807,-7.390555788767917e-06,-8.062131328425784e-09,2.3059751229514353e-05
6.5,0.0,200,-491.0454038187098,-291.0454038187098,-10.438078893942567,-20.898397739086988,322.4283178180315,272.9682761583025,269.80878289079726,272.25176878537354,7060.3839,-7060.3839,0.0,0.04643736629208206,0.0,0.021138873952095807,-7.37416998556351e-06,-8.044256556739948e-09,2.3059751229514353e-05
