t_dim,SW_net,LW_in,LW_out,R_net,H_t,Ls_t,G_t,T_5mm,T_a,T_s,Lf_b,H_b,G_b,top_flux_sum,bottom_flux_sum,mass_loss_bottom,mass_loss_top,thickness_loss_top,thickness_loss_bottom
5.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.167667390314305,-21.508149194953035,263.79251673071735,273.0092230789569,269.8092746522135,272.42301748622197,7060.3839,-7060.3839,0.0,-60.68182238774557,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
5.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.168717952969194,-21.508149194953035,258.8717188225871,272.9982879724944,269.80902877270125,272.42301748622197,7060.3839,-7060.3839,0.0,-65.60367085853068,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
6.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.16976852584322,-21.508149194953035,254.15366368254126,272.9878034055165,269.80878289079726,272.42301748622197,7060.3839,-7060.3839,0.0,-70.32277657145056,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
6.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.170819108935172,-21.508149194953035,249.62744085844122,272.97774513257406,269.8085370065018,272.42301748622197,7060.3839,-7060.3839,0.0,-74.85004997864257,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
7.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.171869702243587,-21.508149194953035,245.28281277993074,272.9680904035107,269.80829111981524,272.42301748622197,7060.3839,-7060.3839,0.0,-79.19572865046149,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
7.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.172920305767013,-21.508149194953035,241.11016969440016,272.95881786332063,269.8080452307379,272.42301748622197,7060.3839,-7060.3839,0.0,-83.3694223395155,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
8.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.17397091950399,-21.508149194953035,237.10048779159365,272.9499074590922,269.8077993392701,272.42301748622197,7060.3839,-7060.3839,0.0,-87.38015485605894,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
8.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.175021543453303,-21.508149194953035,233.2452902822439,272.94134035351584,269.80755344541217,272.42301748622197,7060.3839,-7060.3839,0.0,-91.236402989358,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
9.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.176072177613499,-21.508149194953035,229.53661121392201,272.9330988444751,269.8073075491644,272.42301748622197,7060.3839,-7060.3839,0.0,-94.94613269184009,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
9.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.177122821983115,-21.508149194953035,225.9669618236103,272.92516629027443,269.8070616505272,272.42301748622197,7060.3839,-7060.3839,0.0,-98.51683272652144,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
10.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.17817347656094,-21.508149194953035,222.52929924162288,272.91752704009224,269.8068157495008,272.42301748622197,7060.3839,-7060.3839,0.0,-101.95554596308665,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
10.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.179224141345516,-21.508149194953035,219.21699737549147,272.9101663692786,269.80656984608555,272.42301748622197,7060.3839,-7060.3839,0.0,-105.26889849400266,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
11.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.180274816335388,-21.508149194953035,216.02381981532517,272.9030704191449,269.8063239402818,272.42301748622197,7060.3839,-7060.3839,0.0,-108.46312672915883,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
11.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.181325501529095,-21.508149194953035,212.9438946141761,272.89622614092013,269.8060780320899,272.42301748622197,7060.3839,-7060.3839,0.0,-111.54410261550163,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
12.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.182376196925423,-21.508149194953035,209.97169080773688,272.8896212435725,269.8058321215101,272.42301748622197,7060.3839,-7060.3839,0.0,-114.51735711733716,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
12.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.183426902522676,-21.508149194953035,207.10199654774897,272.88324414521696,269.8055862085428,272.42301748622197,7060.3839,-7060.3839,0.0,-117.38810208292233,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
13.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.184477618319878,-21.508149194953035,204.32989873319514,272.8770839278513,269.8053402931883,272.42301748622197,7060.3839,-7060.3839,0.0,-120.16125061327335,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
13.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.185528344315575,-21.508149194953035,201.65076403179114,272.8711302951815,269.80509437544686,272.42301748622197,7060.3839,-7060.3839,0.0,-122.84143604067305,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
14.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.186579080508064,-21.508149194953035,199.0602211921697,272.8653735333157,269.8048484553189,272.42301748622197,7060.3839,-7060.3839,0.0,-125.43302961648698,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
14.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.187629826896375,-21.508149194953035,196.55414455467053,272.85980447412123,269.80460253280467,272.42301748622197,7060.3839,-7060.3839,0.0,-127.94015700037448,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
